	mass_A
t	frame	x	y	r	θ	pixelx	pixely
2.188000E0	4.376000E3	3.421863E-1	1.453396E0	1.493134E0	7.675160E1	1.079484E2	8.016878E1
2.190000E0	4.380000E3	3.172584E-1	1.478550E0	1.512205E0	7.788945E1	1.080079E2	8.005499E1
2.192000E0	4.384000E3	2.758240E-1	1.276630E0	1.306087E0	7.780829E1	1.080289E2	7.997043E1
2.194000E0	4.388000E3	5.725842E-1	1.183375E0	1.314621E0	6.417966E1	1.084012E2	7.988439E1
2.196000E0	4.392000E3	6.406598E-1	1.130805E0	1.299679E0	6.046620E1	1.085494E2	7.975293E1
2.198000E0	4.396000E3	6.892458E-1	1.390598E0	1.552038E0	6.363482E1	1.086379E2	7.937339E1
2.200000E0	4.400000E3	7.153521E-1	1.462816E0	1.628361E0	6.394026E1	1.087066E2	7.919735E1
2.202000E0	4.404000E3	7.490787E-1	1.481986E0	1.660542E0	6.318540E1	1.087497E2	7.907966E1
2.204000E0	4.408000E3	7.744641E-1	1.320983E0	1.531271E0	5.961782E1	1.088042E2	7.898753E1
2.206000E0	4.412000E3	5.622992E-1	1.186631E0	1.313116E0	6.464552E1	1.088619E2	7.889354E1
2.208000E0	4.416000E3	4.328869E-1	1.107613E0	1.189201E0	6.865302E1	1.089024E2	7.881034E1
2.210000E0	4.420000E3	3.639522E-1	1.057561E0	1.118435E0	7.100946E1	1.089611E2	7.873215E1
2.212000E0	4.424000E3	3.287730E-1	1.336856E0	1.376690E0	7.618344E1	1.090192E2	7.831850E1
2.214000E0	4.428000E3	3.287696E-1	1.379502E0	1.418137E0	7.659505E1	1.090606E2	7.818432E1
2.216000E0	4.432000E3	6.175356E-1	1.211896E0	1.360163E0	6.299837E1	1.094113E2	7.804248E1
2.218000E0	4.436000E3	6.946418E-1	1.117024E0	1.315397E0	5.812383E1	1.095740E2	7.791191E1
2.220000E0	4.440000E3	7.191977E-1	1.059169E0	1.280268E0	5.582269E1	1.096468E2	7.779564E1
2.222000E0	4.444000E3	6.995584E-1	1.019765E0	1.236649E0	5.554988E1	1.096697E2	7.772536E1
2.224000E0	4.448000E3	7.484439E-1	1.300959E0	1.500888E0	6.008812E1	1.097353E2	7.733480E1
2.226000E0	4.452000E3	8.154476E-1	1.389575E0	1.611171E0	5.959420E1	1.098071E2	7.715218E1
2.228000E0	4.456000E3	8.352020E-1	1.212085E0	1.471976E0	5.543075E1	1.098474E2	7.702589E1
2.230000E0	4.460000E3	8.469867E-1	1.181822E0	1.453991E0	5.437164E1	1.098984E2	7.691137E1
2.232000E0	4.464000E3	6.249360E-1	1.090332E0	1.256730E0	6.018035E1	1.099396E2	7.683713E1
2.234000E0	4.468000E3	4.757073E-1	1.048647E0	1.151503E0	6.559910E1	1.099507E2	7.670847E1
2.236000E0	4.472000E3	4.223784E-1	1.313978E0	1.380196E0	7.217999E1	1.100222E2	7.633384E1
2.238000E0	4.476000E3	4.332226E-1	1.333215E0	1.401836E0	7.199865E1	1.100642E2	7.620033E1
2.240000E0	4.480000E3	6.942251E-1	1.184008E0	1.372525E0	5.961543E1	1.104161E2	7.605103E1
2.242000E0	4.484000E3	7.570133E-1	1.094041E0	1.330412E0	5.531901E1	1.105597E2	7.592296E1
2.244000E0	4.488000E3	7.719475E-1	1.035862E0	1.291864E0	5.330570E1	1.106463E2	7.581872E1
2.246000E0	4.492000E3	7.396678E-1	1.007138E0	1.249574E0	5.370549E1	1.106589E2	7.569882E1
2.248000E0	4.496000E3	7.735765E-1	1.288058E0	1.502503E0	5.901199E1	1.107209E2	7.531324E1
2.250000E0	4.500000E3	8.405198E-1	1.371714E0	1.608749E0	5.850205E1	1.107909E2	7.510592E1
2.252000E0	4.504000E3	8.565174E-1	1.204944E0	1.478348E0	5.459342E1	1.108197E2	7.499883E1
2.254000E0	4.508000E3	8.677941E-1	1.117710E0	1.415041E0	5.217410E1	1.108518E2	7.487449E1
2.256000E0	4.512000E3	8.430354E-1	1.049258E0	1.345976E0	5.121956E1	1.108662E2	7.476901E1
2.258000E0	4.516000E3	8.851560E-1	1.419145E0	1.672565E0	5.804719E1	1.109227E2	7.436903E1
2.260000E0	4.520000E3	6.781389E-1	1.480585E0	1.628497E0	6.539122E1	1.109736E2	7.418137E1
2.262000E0	4.524000E3	6.363645E-1	1.478718E0	1.609835E0	6.671543E1	1.110205E2	7.403686E1
2.264000E0	4.528000E3	5.258021E-1	1.202673E0	1.312589E0	6.638531E1	1.110509E2	7.400232E1
2.266000E0	4.532000E3	7.735481E-1	1.117951E0	1.359482E0	5.531932E1	1.114008E2	7.387689E1
2.268000E0	4.536000E3	7.615904E-1	1.076420E0	1.318598E0	5.471978E1	1.114553E2	7.373434E1
2.270000E0	4.540000E3	8.000016E-1	1.335703E0	1.556953E0	5.908105E1	1.115618E2	7.335761E1
2.272000E0	4.544000E3	8.803655E-1	1.400777E0	1.654455E0	5.785132E1	1.116026E2	7.314682E1
2.274000E0	4.548000E3	8.687642E-1	1.208974E0	1.488747E0	5.429911E1	1.116590E2	7.301988E1
2.276000E0	4.552000E3	8.516982E-1	1.105679E0	1.395678E0	5.239314E1	1.116964E2	7.288596E1
2.278000E0	4.556000E3	8.417305E-1	1.038872E0	1.337074E0	5.098441E1	1.117146E2	7.278389E1
2.280000E0	4.560000E3	7.884608E-1	1.000050E0	1.273487E0	5.174699E1	1.117133E2	7.266901E1
2.282000E0	4.564000E3	9.011080E-1	1.272050E0	1.558880E0	5.468661E1	1.117641E2	7.227909E1
2.284000E0	4.568000E3	9.139075E-1	1.146409E0	1.466111E0	5.143845E1	1.117696E2	7.208121E1
2.286000E0	4.572000E3	9.246695E-1	1.058860E0	1.405773E0	4.887029E1	1.118365E2	7.194703E1
2.288000E0	4.576000E3	9.273000E-1	1.006627E0	1.368643E0	4.734889E1	1.118612E2	7.181516E1
2.290000E0	4.580000E3	8.793017E-1	9.658741E-1	1.306172E0	4.768625E1	1.118166E2	7.172030E1
2.292000E0	4.584000E3	1.016054E0	1.261035E0	1.619436E0	5.114055E1	1.118763E2	7.131882E1
2.294000E0	4.588000E3	1.020392E0	1.131224E0	1.523439E0	4.794877E1	1.119094E2	7.110901E1
2.296000E0	4.592000E3	1.032077E0	1.044624E0	1.468476E0	4.534616E1	1.119623E2	7.096669E1
2.298000E0	4.596000E3	1.033188E0	9.790044E-1	1.423351E0	4.345753E1	1.119889E2	7.084748E1
2.300000E0	4.600000E3	9.810332E-1	9.339459E-1	1.354504E0	4.359144E1	1.119513E2	7.075442E1
2.302000E0	4.604000E3	1.126118E0	1.233014E0	1.669870E0	4.759438E1	1.120131E2	7.033869E1
2.304000E0	4.608000E3	1.139617E0	1.003331E0	1.518355E0	4.136105E1	1.120453E2	7.023745E1
2.306000E0	4.612000E3	1.457789E0	9.549534E-1	1.742723E0	3.322760E1	1.123904E2	7.003371E1
2.308000E0	4.616000E3	1.557537E0	9.081614E-1	1.802964E0	3.024540E1	1.125051E2	6.993273E1
2.310000E0	4.620000E3	1.507720E0	8.936315E-1	1.752654E0	3.065539E1	1.124957E2	6.976892E1
2.312000E0	4.624000E3	1.688796E0	1.181159E0	2.060866E0	3.496928E1	1.125585E2	6.937281E1
2.314000E0	4.628000E3	1.705815E0	1.055994E0	2.006222E0	3.175980E1	1.126010E2	6.914504E1
2.316000E0	4.632000E3	1.710212E0	9.688118E-1	1.965559E0	2.953097E1	1.126279E2	6.902534E1
2.318000E0	4.636000E3	1.705765E0	9.150568E-1	1.935707E0	2.821131E1	1.126519E2	6.888786E1
2.320000E0	4.640000E3	1.638372E0	8.846351E-1	1.861946E0	2.836672E1	1.125962E2	6.875633E1
2.322000E0	4.644000E3	1.816042E0	1.170653E0	2.160657E0	3.280654E1	1.126567E2	6.833852E1
2.324000E0	4.648000E3	1.808280E0	1.044795E0	2.088413E0	3.001863E1	1.126896E2	6.815647E1
2.326000E0	4.652000E3	1.802300E0	9.688154E-1	2.046189E0	2.825998E1	1.127076E2	6.799196E1
2.328000E0	4.656000E3	1.798651E0	9.081174E-1	2.014900E0	2.678867E1	1.127304E2	6.788304E1
2.330000E0	4.660000E3	1.724297E0	8.746091E-1	1.933427E0	2.689533E1	1.126729E2	6.776531E1
2.332000E0	4.664000E3	1.929417E0	1.169419E0	2.256146E0	3.122004E1	1.127380E2	6.732680E1
2.334000E0	4.668000E3	1.898128E0	1.053364E0	2.170821E0	2.902803E1	1.127601E2	6.711195E1
2.336000E0	4.672000E3	1.890536E0	9.693515E-1	2.124563E0	2.714598E1	1.127656E2	6.700419E1
2.338000E0	4.676000E3	1.897433E0	9.212959E-1	2.109274E0	2.589883E1	1.127859E2	6.686577E1
2.340000E0	4.680000E3	1.809129E0	8.831502E-1	2.013182E0	2.601993E1	1.127164E2	6.671259E1
2.342000E0	4.684000E3	2.017637E0	1.182010E0	2.338377E0	3.036343E1	1.127684E2	6.631057E1
2.344000E0	4.688000E3	1.991696E0	1.063123E0	2.257672E0	2.809231E1	1.127810E2	6.610560E1
2.346000E0	4.692000E3	1.982792E0	9.885104E-1	2.215540E0	2.649831E1	1.128016E2	6.594876E1
2.348000E0	4.696000E3	1.963140E0	9.379273E-1	2.175690E0	2.553702E1	1.128123E2	6.581511E1
2.350000E0	4.700000E3	1.887026E0	8.990479E-1	2.090253E0	2.547483E1	1.127673E2	6.570783E1
2.352000E0	4.704000E3	2.083555E0	1.178683E0	2.393845E0	2.949717E1	1.127889E2	6.526775E1
2.354000E0	4.708000E3	2.065105E0	1.077538E0	2.329324E0	2.755482E1	1.127970E2	6.507559E1
2.356000E0	4.712000E3	2.042590E0	1.004724E0	2.276322E0	2.619199E1	1.128346E2	6.492507E1
2.358000E0	4.716000E3	1.924519E0	9.644177E-1	2.152644E0	2.661643E1	1.127370E2	6.476252E1
2.360000E0	4.720000E3	1.952146E0	1.246550E0	2.316195E0	3.256042E1	1.127814E2	6.435368E1
2.362000E0	4.724000E3	2.151227E0	1.323905E0	2.525966E0	3.160890E1	1.127981E2	6.412786E1
