	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
1.580000E0	3.160000E3	6.547208E0	2.561802E1	2.644142E1	7.566376E1	5.286231E2	9.592300E1	3.919727E1
1.584000E0	3.168000E3	5.618480E0	2.588827E1	2.649093E1	7.775510E1	5.364043E2	9.499428E1	3.892702E1
1.588000E0	3.176000E3	4.627026E0	2.612118E1	2.652782E1	7.995500E1	5.140144E2	9.400282E1	3.869411E1
1.592000E0	3.184000E3	3.754608E0	2.627347E1	2.654039E1	8.186722E1	5.342072E2	9.313040E1	3.854181E1
1.596000E0	3.192000E3	2.687598E0	2.659118E1	2.672666E1	8.422866E1	5.756235E2	9.206339E1	3.822411E1
1.600000E0	3.200000E3	1.650851E0	2.677797E1	2.682881E1	8.647220E1	5.668871E2	9.102665E1	3.803731E1
1.604000E0	3.208000E3	5.801182E-1	2.688228E1	2.688854E1	8.876375E1	5.626344E2	8.995591E1	3.793301E1
1.608000E0	3.216000E3	-4.578271E-1	2.694916E1	2.695305E1	9.097328E1	5.482045E2	8.891797E1	3.786612E1
1.612000E0	3.224000E3	-1.484870E0	2.698655E1	2.702737E1	9.314939E1	5.463773E2	8.789093E1	3.782874E1
1.616000E0	3.232000E3	-2.521579E0	2.695520E1	2.707289E1	9.534430E1	5.497609E2	8.685422E1	3.786008E1
1.620000E0	3.240000E3	-3.567637E0	2.692647E1	2.716179E1	9.754748E1	5.403150E2	8.580816E1	3.788882E1
1.624000E0	3.248000E3	-4.574141E0	2.685346E1	2.724025E1	9.966682E1	5.348937E2	8.480165E1	3.796182E1
1.628000E0	3.256000E3	-5.603935E0	2.676239E1	2.734282E1	1.018266E2	5.418922E2	8.377186E1	3.805290E1
1.632000E0	3.264000E3	-6.651376E0	2.667334E1	2.749014E1	1.040020E2	5.394765E2	8.272442E1	3.814195E1
1.636000E0	3.272000E3	-7.686801E0	2.655770E1	2.764776E1	1.061424E2	5.296560E2	8.168900E1	3.825758E1
1.640000E0	3.280000E3	-8.698377E0	2.639538E1	2.779169E1	1.082392E2	5.215628E2	8.067742E1	3.841991E1
1.644000E0	3.288000E3	-9.697880E0	2.619578E1	2.793328E1	1.103149E2	5.565470E2	7.967792E1	3.861950E1
1.648000E0	3.296000E3	-1.086838E1	2.599243E1	2.817319E1	1.126916E2	5.775810E2	7.850741E1	3.882285E1
1.652000E0	3.304000E3	-1.189912E1	2.559283E1	2.822379E1	1.149356E2	5.564099E2	7.747667E1	3.922245E1
1.656000E0	3.312000E3	-1.291592E1	2.519343E1	2.831130E1	1.171429E2	5.656489E2	7.645988E1	3.962186E1
1.660000E0	3.320000E3	-1.401959E1	2.481916E1	2.850508E1	1.194608E2	5.573576E2	7.535621E1	3.999612E1
1.664000E0	3.328000E3	-1.496151E1	2.431796E1	2.855188E1	1.216017E2	5.606045E2	7.441428E1	4.049733E1
1.668000E0	3.336000E3	-1.601985E1	2.379910E1	2.868854E1	1.239456E2	5.957474E2	7.335595E1	4.101619E1
1.672000E0	3.344000E3	-1.703356E1	2.313105E1	2.872608E1	1.263677E2	6.101910E2	7.234224E1	4.168424E1
1.676000E0	3.352000E3	-1.798082E1	2.234195E1	2.867879E1	1.288271E2	6.117977E2	7.139497E1	4.247333E1
1.680000E0	3.360000E3	-1.898233E1	2.163600E1	2.878273E1	1.312621E2	6.069868E2	7.039346E1	4.317929E1
1.684000E0	3.368000E3	-1.989730E1	2.083368E1	2.880876E1	1.336830E2	6.326163E2	6.947850E1	4.398161E1
1.688000E0	3.376000E3	-2.084655E1	1.990538E1	2.882365E1	1.363230E2	6.709598E2	6.852925E1	4.490991E1
