	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
3.816000E0	7.632000E3	-1.749837E1	-2.447927E1	3.009032E1	2.344419E2	1.146246E3	7.697297E1	8.990602E1
3.820000E0	7.640000E3	-1.546427E1	-2.576319E1	3.004805E1	2.390259E2	1.152212E3	7.900707E1	9.118994E1
3.824000E0	7.648000E3	-1.329935E1	-2.686150E1	2.997354E1	2.436596E2	1.168650E3	8.117198E1	9.228826E1
3.828000E0	7.656000E3	-1.101798E1	-2.779290E1	2.989718E1	2.483751E2	1.153987E3	8.345335E1	9.321965E1
3.832000E0	7.664000E3	-8.763622E0	-2.847157E1	2.978978E1	2.528915E2	1.187380E3	8.570772E1	9.389832E1
3.836000E0	7.672000E3	-6.239298E0	-2.903967E1	2.970238E1	2.578741E2	1.206225E3	8.823204E1	9.446642E1
3.840000E0	7.680000E3	-3.829860E0	-2.925359E1	2.950323E1	2.625413E2	1.208189E3	9.064148E1	9.468034E1
3.844000E0	7.688000E3	-1.266505E0	-2.947539E1	2.950259E1	2.675396E2	1.209450E3	9.320483E1	9.490214E1
3.848000E0	7.696000E3	1.133456E0	-2.927959E1	2.930152E1	2.722169E2	1.229845E3	9.560479E1	9.470634E1
3.852000E0	7.704000E3	3.757862E0	-2.901968E1	2.926198E1	2.773784E2	1.255054E3	9.822920E1	9.444643E1
3.856000E0	7.712000E3	6.141344E0	-2.826787E1	2.892730E1	2.822573E2	1.246834E3	1.006127E2	9.369463E1
3.860000E0	7.720000E3	8.595964E0	-2.750873E1	2.882049E1	2.873530E2	1.250112E3	1.030673E2	9.293548E1
3.864000E0	7.728000E3	1.085074E1	-2.651189E1	2.864645E1	2.922582E2	1.231718E3	1.053221E2	9.193864E1
3.868000E0	7.736000E3	1.298321E1	-2.525522E1	2.839700E1	2.972068E2	1.260914E3	1.074545E2	9.068197E1
3.872000E0	7.744000E3	1.501742E1	-2.371345E1	2.806868E1	3.023455E2	1.323104E3	1.094888E2	8.914020E1
3.876000E0	7.752000E3	1.709169E1	-2.204112E1	2.789152E1	3.077916E2	1.380737E3	1.115630E2	8.746787E1
3.880000E0	7.760000E3	1.895736E1	-2.005285E1	2.759526E1	3.133914E2	1.385886E3	1.134287E2	8.547960E1
3.884000E0	7.768000E3	2.051203E1	-1.790720E1	2.722887E1	3.188787E2	1.384779E3	1.149834E2	8.333396E1
3.888000E0	7.776000E3	2.191414E1	-1.564871E1	2.692790E1	3.244697E2	1.376401E3	1.163855E2	8.107547E1
3.892000E0	7.784000E3	2.306748E1	-1.337717E1	2.666566E1	3.298899E2	1.395179E3	1.175388E2	7.880392E1
