	mass_A
t	frame	ω	x	y	r	θ	pixelx	pixely
1.460000E0	2.920000E3	7.072021E2	2.379888E1	-1.530474E1	2.829526E1	3.272555E2	6.226173E1	4.918011E1
1.464000E0	2.928000E3	7.481127E2	2.457821E1	-1.414576E1	2.835826E1	3.300778E2	6.148240E1	5.033909E1
1.468000E0	2.936000E3	7.873954E2	2.534713E1	-1.278134E1	2.838732E1	3.332404E2	6.071347E1	5.170350E1
1.472000E0	2.944000E3	7.434110E2	2.587194E1	-1.131555E1	2.823825E1	3.363770E2	6.018867E1	5.316930E1
1.476000E0	2.952000E3	7.545666E2	2.656196E1	-1.009648E1	2.841613E1	3.391877E2	5.949865E1	5.438836E1
1.480000E0	2.960000E3	8.102386E2	2.703680E1	-8.569556E0	2.836240E1	3.424135E2	5.902381E1	5.591529E1
1.484000E0	2.968000E3	8.240134E2	2.735957E1	-6.989340E0	2.823822E1	3.456696E2	5.870104E1	5.749551E1
1.488000E0	2.976000E3	8.287972E2	2.768258E1	-5.378125E0	2.820016E1	3.490056E2	5.837803E1	5.910672E1
1.492000E0	2.984000E3	8.336482E2	2.795172E1	-3.779244E0	2.820605E1	3.523000E2	5.810889E1	6.070560E1
1.496000E0	2.992000E3	8.232958E2	2.810298E1	-2.125497E0	2.818324E1	3.556748E2	5.795763E1	6.235935E1
1.500000E0	3.000000E3	8.189808E2	2.809806E1	-5.462217E-1	2.810337E1	3.588863E2	5.796255E1	6.393863E1
1.504000E0	3.008000E3	8.718503E2	2.802401E1	1.089633E0	2.804518E1	3.622267E2	5.803660E1	6.557448E1
1.508000E0	3.016000E3	8.627605E2	2.796938E1	2.871174E0	2.811636E1	3.658611E2	5.809123E1	6.735602E1
1.512000E0	3.024000E3	8.693041E2	2.767731E1	4.447429E0	2.803236E1	3.691287E2	5.838330E1	6.893228E1
1.516000E0	3.032000E3	9.137105E2	2.736376E1	6.224706E0	2.806283E1	3.728156E2	5.869685E1	7.070955E1
1.520000E0	3.040000E3	8.828320E2	2.694980E1	7.951403E0	2.809834E1	3.764384E2	5.911080E1	7.243625E1
1.524000E0	3.048000E3	8.989287E2	2.631698E1	9.515294E0	2.798435E1	3.798782E2	5.974363E1	7.400014E1
1.528000E0	3.056000E3	9.304324E2	2.555663E1	1.118128E1	2.789556E1	3.836299E2	6.050398E1	7.566613E1
1.532000E0	3.064000E3	9.084905E2	2.493762E1	1.288321E1	2.806888E1	3.873217E2	6.112299E1	7.736806E1
1.536000E0	3.072000E3	9.456885E2	2.402107E1	1.437505E1	2.799382E1	3.908978E2	6.203954E1	7.885990E1
1.540000E0	3.080000E3	9.790567E2	2.299975E1	1.603720E1	2.803890E1	3.948872E2	6.306086E1	8.052204E1
1.544000E0	3.088000E3	9.465235E2	2.192573E1	1.758483E1	2.810629E1	3.987302E2	6.413488E1	8.206968E1
1.548000E0	3.096000E3	9.165004E2	2.072642E1	1.896524E1	2.809386E1	4.024594E2	6.533419E1	8.345009E1
1.552000E0	3.104000E3	9.705402E2	1.944548E1	2.018021E1	2.802441E1	4.060622E2	6.661512E1	8.466506E1
1.556000E0	3.112000E3	1.004809E3	1.792325E1	2.153024E1	2.801417E1	4.102237E2	6.813736E1	8.601509E1
1.560000E0	3.120000E3	9.844170E2	1.639920E1	2.265521E1	2.796770E1	4.141007E2	6.966140E1	8.714006E1
1.564000E0	3.128000E3	9.707607E2	1.472560E1	2.365677E1	2.786550E1	4.180990E2	7.133500E1	8.814162E1
1.568000E0	3.136000E3	9.739561E2	1.316841E1	2.462789E1	2.792741E1	4.218668E2	7.289219E1	8.911274E1
1.572000E0	3.144000E3	1.034532E3	1.137783E1	2.542435E1	2.785413E1	4.258907E2	7.468278E1	8.990920E1
1.576000E0	3.152000E3	1.062770E3	9.445641E0	2.615469E1	2.780806E1	4.301431E2	7.661496E1	9.063954E1
1.580000E0	3.160000E3	9.933089E2	7.500964E0	2.685246E1	2.788044E1	4.343928E2	7.855964E1	9.133731E1
1.584000E0	3.168000E3	9.636475E2	5.750607E0	2.726390E1	2.786377E1	4.380895E2	8.031000E1	9.174875E1
1.588000E0	3.176000E3	1.002282E3	3.831871E0	2.762192E1	2.788644E1	4.421020E2	8.222873E1	9.210677E1
1.592000E0	3.184000E3	1.018053E3	1.885788E0	2.771723E1	2.778130E1	4.461078E2	8.417482E1	9.220207E1
1.596000E0	3.192000E3	1.033789E3	-1.191903E-1	2.771183E1	2.771208E1	4.502464E2	8.617980E1	9.219667E1
1.600000E0	3.200000E3	1.038751E3	-2.114125E0	2.761352E1	2.769433E1	4.543781E2	8.817473E1	9.209837E1
1.604000E0	3.208000E3	1.065072E3	-4.112713E0	2.733460E1	2.764226E1	4.585564E2	9.017332E1	9.181945E1
1.608000E0	3.216000E3	1.073176E3	-6.173309E0	2.695695E1	2.765478E1	4.628987E2	9.223391E1	9.144180E1
1.612000E0	3.224000E3	1.061924E3	-8.111309E0	2.629787E1	2.752038E1	4.671418E2	9.417191E1	9.078271E1
1.616000E0	3.232000E3	1.083819E3	-1.004490E1	2.563938E1	2.753684E1	4.713941E2	9.610551E1	9.012423E1
1.620000E0	3.240000E3	1.117669E3	-1.194727E1	2.470048E1	2.743813E1	4.758124E2	9.800788E1	8.918533E1
1.624000E0	3.248000E3	1.116821E3	-1.385788E1	2.368130E1	2.743802E1	4.803354E2	9.991849E1	8.816615E1
1.628000E0	3.256000E3	1.111084E3	-1.560070E1	2.249086E1	2.737189E1	4.847470E2	1.016613E2	8.697571E1
1.632000E0	3.264000E3	1.096161E3	-1.733385E1	2.123516E1	2.741157E1	4.892241E2	1.033945E2	8.572001E1
1.636000E0	3.272000E3	1.128169E3	-1.883988E1	1.984181E1	2.736126E1	4.935163E2	1.049005E2	8.432666E1
1.640000E0	3.280000E3	1.109759E3	-2.032675E1	1.814267E1	2.724579E1	4.982494E2	1.063874E2	8.262752E1
1.644000E0	3.288000E3	1.116354E3	-2.162889E1	1.665990E1	2.730131E1	5.023943E2	1.076895E2	8.114475E1
1.648000E0	3.296000E3	1.208233E3	-2.287467E1	1.475287E1	2.721944E1	5.071803E2	1.089353E2	7.923772E1
1.652000E0	3.304000E3	1.189362E3	-2.397586E1	1.271590E1	2.713920E1	5.120602E2	1.100365E2	7.720075E1
1.656000E0	3.312000E3	1.178742E3	-2.487954E1	1.071731E1	2.708970E1	5.166952E2	1.109401E2	7.520215E1
1.660000E0	3.320000E3	1.185239E3	-2.567420E1	8.595385E0	2.707481E1	5.214901E2	1.117348E2	7.308023E1
1.664000E0	3.328000E3	1.157795E3	-2.627490E1	6.464879E0	2.705855E1	5.261771E2	1.123355E2	7.094973E1
1.668000E0	3.336000E3	1.173357E3	-2.668486E1	4.344713E0	2.703624E1	5.307525E2	1.127455E2	6.882956E1
1.672000E0	3.344000E3	1.169508E3	-2.702162E1	2.096310E0	2.710281E1	5.355639E2	1.130822E2	6.658116E1
1.676000E0	3.352000E3	1.210574E3	-2.704291E1	-5.123803E-2	2.704296E1	5.401086E2	1.131035E2	6.443361E1
1.680000E0	3.360000E3	1.235048E3	-2.691612E1	-2.472545E0	2.702944E1	5.452485E2	1.129767E2	6.201230E1
1.684000E0	3.368000E3	1.201552E3	-2.668175E1	-4.699404E0	2.709244E1	5.499889E2	1.127424E2	5.978544E1
1.688000E0	3.376000E3	1.207726E3	-2.626224E1	-6.968672E0	2.717108E1	5.548609E2	1.123228E2	5.751618E1
1.692000E0	3.384000E3	1.238833E3	-2.541181E1	-9.074111E0	2.698332E1	5.596508E2	1.114724E2	5.541074E1
1.696000E0	3.392000E3	1.246096E3	-2.453897E1	-1.132384E1	2.702573E1	5.647716E2	1.105996E2	5.316101E1
1.700000E0	3.400000E3	1.229887E3	-2.367487E1	-1.345987E1	2.723358E1	5.696195E2	1.097355E2	5.102498E1
1.704000E0	3.408000E3	1.245140E3	-2.248021E1	-1.551425E1	2.731395E1	5.746107E2	1.085408E2	4.897060E1
1.708000E0	3.416000E3	1.248524E3	-2.106225E1	-1.741223E1	2.732772E1	5.795806E2	1.071229E2	4.707262E1
1.712000E0	3.424000E3	1.268613E3	-1.950234E1	-1.923117E1	2.738939E1	5.845989E2	1.055629E2	4.525368E1
1.716000E0	3.432000E3	1.226310E3	-1.775907E1	-2.096269E1	2.747397E1	5.897295E2	1.038197E2	4.352216E1
1.720000E0	3.440000E3	1.203126E3	-1.600564E1	-2.236416E1	2.750157E1	5.944094E2	1.020662E2	4.212069E1
1.724000E0	3.448000E3	1.242650E3	-1.407881E1	-2.376294E1	2.762047E1	5.993546E2	1.001394E2	4.072191E1
1.728000E0	3.456000E3	1.246747E3	-1.196291E1	-2.491332E1	2.763666E1	6.043506E2	9.802351E1	3.957153E1
1.732000E0	3.464000E3	1.211875E3	-9.754558E0	-2.585362E1	2.763261E1	6.093285E2	9.581516E1	3.863122E1
1.736000E0	3.472000E3	1.175746E3	-7.611934E0	-2.662585E1	2.769256E1	6.140456E2	9.367254E1	3.785899E1
1.740000E0	3.480000E3	1.282576E3	-5.447231E0	-2.734643E1	2.788368E1	6.187345E2	9.150784E1	3.713842E1
1.744000E0	3.488000E3	1.315369E3	-2.785634E0	-2.793888E1	2.807741E1	6.243062E2	8.884624E1	3.654597E1
1.748000E0	3.496000E3	1.245039E3	-3.624083E-1	-2.796250E1	2.796484E1	6.292575E2	8.642301E1	3.652235E1
1.752000E0	3.504000E3	1.252599E3	2.085691E0	-2.795759E1	2.803528E1	6.342665E2	8.397491E1	3.652726E1
1.756000E0	3.512000E3	1.261482E3	4.513038E0	-2.762523E1	2.799144E1	6.392782E2	8.154757E1	3.685962E1
1.760000E0	3.520000E3	1.252292E3	6.988623E0	-2.730131E1	2.818159E1	6.443583E2	7.907198E1	3.718354E1
1.764000E0	3.528000E3	1.242399E3	9.368012E0	-2.675596E1	2.834856E1	6.492966E2	7.669259E1	3.772889E1
1.768000E0	3.536000E3	1.287136E3	1.162711E1	-2.575416E1	2.825714E1	6.542975E2	7.443350E1	3.873069E1
1.772000E0	3.544000E3	1.285387E3	1.399188E1	-2.463649E1	2.833248E1	6.595937E2	7.206873E1	3.984836E1
1.776000E0	3.552000E3	1.264679E3	1.611957E1	-2.338357E1	2.840126E1	6.645806E2	6.994104E1	4.110128E1
1.780000E0	3.560000E3	1.323035E3	1.813090E1	-2.183016E1	2.837755E1	6.697111E2	6.792971E1	4.265469E1
1.784000E0	3.568000E3	1.352400E3	2.010628E1	-1.999089E1	2.835310E1	6.751649E2	6.595432E1	4.449396E1
1.788000E0	3.576000E3	1.371100E3	2.178757E1	-1.794094E1	2.822367E1	6.805303E2	6.427303E1	4.654391E1
1.792000E0	3.584000E3	1.348920E3	2.344718E1	-1.573585E1	2.823804E1	6.861337E2	6.261343E1	4.874900E1
1.796000E0	3.592000E3	1.353495E3	2.472146E1	-1.352245E1	2.817813E1	6.913217E2	6.133915E1	5.096239E1
1.800000E0	3.600000E3	1.357837E3	2.596673E1	-1.104274E1	2.821725E1	6.969616E2	6.009387E1	5.344210E1
1.804000E0	3.608000E3	1.365017E3	2.689617E1	-8.643514E0	2.825092E1	7.021844E2	5.916443E1	5.584133E1
1.808000E0	3.616000E3	1.428649E3	2.750175E1	-5.905014E0	2.812855E1	7.078818E2	5.855886E1	5.857983E1
1.812000E0	3.624000E3	1.422733E3	2.805392E1	-3.140033E0	2.822911E1	7.136136E2	5.800668E1	6.134482E1
1.816000E0	3.632000E3	1.425623E3	2.816233E1	-3.619581E-1	2.816465E1	7.192636E2	5.789828E1	6.412289E1
1.820000E0	3.640000E3	1.441822E3	2.801235E1	2.459895E0	2.812015E1	7.250185E2	5.804826E1	6.694474E1
