	mass_A
t	frame	x	y	r	ω	pixelx	pixely
6.623600E1	1.324720E5	-2.707995E1	-6.260094E0	2.779411E1	1.435721E3	5.883087E1	7.127920E1
6.623800E1	1.324760E5	-2.653386E1	-7.384730E0	2.754233E1	1.257578E3	5.937697E1	7.240384E1
6.624000E1	1.324800E5	-2.617103E1	-8.527107E0	2.752516E1	1.288954E3	5.973980E1	7.354622E1
6.624200E1	1.324840E5	-2.574810E1	-9.733721E0	2.752653E1	1.431908E3	6.016273E1	7.475283E1
6.624400E1	1.324880E5	-2.511236E1	-1.106247E1	2.744100E1	1.431065E3	6.079847E1	7.608158E1
6.624600E1	1.324920E5	-2.468044E1	-1.226903E1	2.756181E1	1.357787E3	6.123038E1	7.728814E1
6.624800E1	1.324960E5	-2.394896E1	-1.338766E1	2.743688E1	1.353933E3	6.196187E1	7.840677E1
6.625000E1	1.325000E5	-2.315086E1	-1.438124E1	2.725404E1	1.294471E3	6.275996E1	7.940035E1
6.625200E1	1.325040E5	-2.254553E1	-1.542767E1	2.731875E1	1.310371E3	6.336530E1	8.044678E1
6.625400E1	1.325080E5	-2.171846E1	-1.641952E1	2.722668E1	1.380293E3	6.419237E1	8.143863E1
6.625600E1	1.325120E5	-2.079105E1	-1.738685E1	2.710296E1	1.410535E3	6.511978E1	8.240596E1
6.625800E1	1.325160E5	-1.984277E1	-1.833093E1	2.701405E1	1.446645E3	6.606806E1	8.335004E1
6.626000E1	1.325200E5	-1.881314E1	-1.927261E1	2.693266E1	1.468681E3	6.709768E1	8.429172E1
6.626200E1	1.325240E5	-1.778192E1	-2.017443E1	2.689246E1	1.446582E3	6.812891E1	8.519354E1
6.626400E1	1.325280E5	-1.675148E1	-2.104254E1	2.689611E1	1.435479E3	6.915935E1	8.606165E1
6.626600E1	1.325320E5	-1.569198E1	-2.187689E1	2.692279E1	1.434465E3	7.021885E1	8.689600E1
6.626800E1	1.325360E5	-1.464388E1	-2.273625E1	2.704404E1	1.441538E3	7.126695E1	8.775536E1
6.627000E1	1.325400E5	-1.354258E1	-2.356537E1	2.717955E1	1.332676E3	7.236825E1	8.858448E1
6.627200E1	1.325440E5	-1.245862E1	-2.397985E1	2.702315E1	1.304397E3	7.345221E1	8.899896E1
6.627400E1	1.325480E5	-1.129475E1	-2.459320E1	2.706283E1	1.303893E3	7.461607E1	8.961230E1
6.627600E1	1.325520E5	-1.021432E1	-2.498163E1	2.698915E1	1.290094E3	7.569650E1	9.000073E1
6.627800E1	1.325560E5	-9.005638E0	-2.542097E1	2.696901E1	1.426379E3	7.690519E1	9.044008E1
6.628000E1	1.325600E5	-7.636174E0	-2.572515E1	2.683457E1	1.483974E3	7.827465E1	9.074425E1
6.628200E1	1.325640E5	-6.337347E0	-2.625296E1	2.700703E1	1.408204E3	7.957348E1	9.127206E1
6.628400E1	1.325680E5	-5.101801E0	-2.649323E1	2.697999E1	1.289803E3	8.080903E1	9.151234E1
6.628600E1	1.325720E5	-3.921672E0	-2.651875E1	2.680716E1	1.395672E3	8.198916E1	9.153786E1
6.628800E1	1.325760E5	-2.474193E0	-2.658356E1	2.669845E1	1.453454E3	8.343664E1	9.160266E1
6.629000E1	1.325800E5	-1.208537E0	-2.663163E1	2.665904E1	1.321551E3	8.470229E1	9.165074E1
6.629200E1	1.325840E5	-1.437921E-2	-2.646691E1	2.646691E1	1.416095E3	8.589645E1	9.148602E1
6.629400E1	1.325880E5	1.418986E0	-2.649115E1	2.652912E1	1.461667E3	8.732981E1	9.151026E1
6.629600E1	1.325920E5	2.690067E0	-2.641197E1	2.654861E1	1.319996E3	8.860089E1	9.143108E1
6.629800E1	1.325960E5	3.859355E0	-2.630679E1	2.658838E1	1.299846E3	8.977018E1	9.132590E1
